,country,lat,lon,humidity,cloudiness,wind speed,max temp,city
0,ZA,-34.53,20.04,82,100,12.75,64.4,bredasdorp
1,ZA,-33.92,25.57,82,90,21.92,64.4,port elizabeth
2,US,42.6,-73.97,82,100,5.86,48.0,albany
3,CA,70.47,-68.59,72,90,16.11,14.0,clyde river
4,NG,8.93,8.6,60,46,0.67,76.93,wamba
5,RU,46.49,135.88,99,0,3.44,27.7,vostok
6,PT,38.73,-27.07,73,20,10.94,71.6,praia da vitoria
7,ZA,-33.02,27.91,93,90,8.05,62.6,east london
8,CL,-53.15,-70.92,40,20,29.97,53.6,punta arenas
9,KR,37.57,126.98,100,1,1.16,46.4,seoul
10,PF,-23.12,-134.97,85,100,18.79,75.42,rikitea
11,MY,5.41,100.34,88,20,3.36,77.0,georgetown
12,US,22.08,-159.32,88,40,6.93,75.99,kapaa
13,NZ,-35.1,173.78,97,20,2.21,60.01,kaeo
14,RU,69.49,88.4,84,40,1.59,1.4,talnakh
15,AR,-54.8,-68.3,51,40,13.87,57.2,ushuaia
16,NA,-22.12,14.28,90,0,1.01,57.99,henties bay
17,BR,-26.07,-53.73,68,100,7.2,76.1,santo antonio do sudoeste
18,RU,53.57,142.95,84,93,11.14,39.52,okha
19,LY,31.67,20.25,68,0,5.59,69.76,suluq
20,US,42.25,-75.83,87,90,5.82,57.0,broome
21,JP,34.67,138.95,90,17,8.84,54.0,shimoda
22,MW,-11.61,34.29,72,35,5.77,77.29,nkhata bay
23,PT,38.52,-28.7,88,40,17.22,69.8,ribeira grande
24,IN,12.63,80.17,88,75,8.5,80.6,mamallapuram
25,US,57.05,-135.33,87,90,5.82,51.8,sitka
26,ZA,-34.42,19.23,85,100,5.01,64.0,hermanus
27,TO,-21.2,-175.2,88,40,8.05,71.6,vaini
28,IS,63.44,-20.27,81,40,23.04,42.8,vestmannaeyjar
29,CL,-35.33,-72.42,55,5,17.29,59.56,constitucion
30,SS,7.7,28.0,76,100,0.92,74.66,waw
31,AU,-33.65,115.33,74,8,5.95,57.0,busselton
32,US,37.1,-113.58,20,1,29.97,46.0,saint george
33,IR,32.99,47.42,27,0,10.6,62.55,abdanan
34,US,37.27,-76.71,88,90,5.68,64.4,williamsburg
35,LK,6.12,81.12,94,40,2.24,78.8,hambantota
36,AU,-42.78,147.06,65,100,1.36,48.99,new norfolk
37,PF,-17.73,-149.15,70,75,9.17,84.2,tautira
38,NZ,-46.19,168.86,90,85,1.61,48.0,mataura
39,OM,22.57,59.53,61,0,1.79,72.07,sur
40,AU,-42.88,147.33,57,90,6.93,51.8,hobart
41,CA,44.32,-80.65,74,100,5.01,43.0,markdale
42,ZA,-34.05,23.37,83,3,14.05,64.24,plettenberg bay
43,CI,4.42,-7.35,88,84,6.98,78.28,tabou
44,PF,-9.8,-139.03,73,85,19.33,79.14,atuona
45,NG,4.92,6.26,92,100,5.66,77.13,yenagoa
46,NC,-22.67,167.48,83,1,15.14,72.88,vao
47,ZW,-17.62,27.34,38,0,2.39,79.9,binga
48,CA,50.7,-127.42,100,90,3.36,42.8,port hardy
49,PT,39.05,-27.98,87,100,24.52,67.96,lagoa
50,MU,-20.41,57.7,73,40,9.17,73.4,mahebourg
51,RU,61.25,73.42,100,90,13.42,24.8,surgut
52,RU,59.45,112.56,95,74,1.52,17.38,vitim
53,NO,70.37,31.11,86,75,18.34,37.4,vardo
54,UY,-33.7,-53.46,93,100,15.73,59.95,chuy
55,US,19.73,-155.09,83,90,5.82,75.99,hilo
56,US,57.79,-152.41,45,1,17.22,48.2,kodiak
57,SB,-8.77,160.7,84,75,2.75,77.4,auki
58,CL,-22.47,-68.93,7,0,20.8,77.0,calama
59,US,41.37,-73.41,87,90,3.36,53.01,bethel
60,AU,-25.24,130.99,31,0,5.82,60.8,yulara
61,UZ,40.43,71.72,53,0,6.93,50.0,komsomolskiy
62,RU,64.38,-173.3,93,20,0.76,28.8,provideniya
63,IT,43.07,12.62,72,100,5.82,61.0,assisi
64,BR,-9.42,-41.13,46,75,13.87,91.4,casa nova
65,PH,17.42,121.44,89,98,0.92,74.26,tabuk
66,CL,-41.87,-73.82,100,90,17.22,52.0,ancud
67,GL,60.72,-46.03,28,75,14.99,46.4,qaqortoq
68,TL,-8.93,125.41,100,62,1.61,61.02,airai
69,VE,7.77,-72.22,46,40,4.7,91.4,san cristobal
70,SB,-8.14,159.59,80,100,1.59,78.76,buala
71,BR,-24.79,-50.01,69,100,7.72,73.17,castro
72,US,27.94,-82.29,59,75,9.17,91.4,brandon
73,IN,25.93,81.98,32,0,3.98,73.63,bela
74,ZA,-33.93,18.42,77,0,11.41,69.01,cape town
75,NO,67.67,12.69,87,75,23.04,48.2,sorland
76,US,42.1,-79.24,100,90,6.93,48.0,jamestown
77,RU,59.38,143.3,80,0,17.2,28.4,okhotsk
78,NE,19.75,10.25,20,0,6.51,72.86,agadez
79,PH,11.0,122.67,91,100,6.26,75.7,dingle
80,RU,53.05,158.65,100,100,4.9,37.4,petropavlovsk-kamchatskiy
81,RU,69.41,86.18,84,40,0.47,1.4,dudinka
82,ZA,-33.59,26.89,81,100,26.6,65.66,port alfred
83,CA,51.26,-80.61,74,90,8.05,28.4,moose factory
84,AR,-38.0,-57.56,32,0,8.05,66.2,mar del plata
85,SO,5.35,48.53,79,1,9.6,79.48,hobyo
86,AO,-9.66,20.39,91,100,2.46,68.02,saurimo
87,BR,-9.39,-38.0,22,40,8.05,98.6,delmiro gouveia
88,PE,-13.7,-76.22,68,0,8.05,69.8,pisco
89,MX,23.45,-110.22,66,0,8.99,79.0,todos santos
90,CA,49.78,-74.85,86,90,11.41,30.2,chapais
91,AU,-15.77,128.73,100,100,4.7,73.4,kununurra
92,RU,61.15,41.34,95,100,8.79,30.97,ust-shonosha
93,CA,63.75,-68.51,72,75,4.7,15.8,iqaluit
94,EC,-0.95,-80.73,69,75,11.41,80.6,manta
95,GB,55.53,-5.13,76,40,20.8,51.8,lamlash
96,NU,-19.06,-169.92,88,90,10.29,69.8,alofi
97,RU,50.68,156.12,85,93,2.71,43.07,severo-kurilsk
