,country,lat,lon,humidity,cloudiness,wind speed,max temp,city
0,AU,-20.73,139.5,94,90,5.82,71.6,mount isa
1,CL,-23.65,-70.4,82,75,14.99,59.0,antofagasta
2,US,37.8,-89.03,54,40,16.11,82.4,herrin
3,TO,-21.2,-175.2,73,40,8.05,77.0,vaini
4,PT,38.52,-28.7,82,75,9.17,62.6,ribeira grande
5,US,42.6,-73.97,69,59,2.37,69.01,albany
6,ZA,-33.01,17.94,82,56,4.7,59.0,saldanha
7,AU,-34.73,135.87,92,100,22.32,59.31,port lincoln
8,NE,18.69,12.92,15,0,8.88,82.81,bilma
9,US,22.08,-159.32,69,40,11.41,82.4,kapaa
10,CA,62.46,-114.35,73,75,8.05,26.01,yellowknife
11,PF,-16.48,-151.75,75,5,9.84,78.98,faanui
12,AU,-33.65,115.33,66,0,10.22,51.01,busselton
13,CL,-53.15,-70.92,50,0,14.99,53.6,punta arenas
14,NC,-20.23,164.02,76,70,13.65,76.96,poum
15,NO,59.28,5.31,81,100,16.11,50.0,kopervik
16,CA,60.72,-135.05,85,75,4.7,14.0,whitehorse
17,NG,6.2,6.73,92,100,5.48,76.59,asaba
18,US,42.1,-79.24,77,75,4.52,69.8,jamestown
19,SE,56.05,12.69,85,69,8.01,55.0,helsingborg
20,CK,-21.21,-159.78,83,99,13.87,77.0,avarua
21,SJ,78.22,15.64,78,20,6.93,17.6,longyearbyen
22,ID,1.74,98.78,76,100,2.68,76.37,sibolga
23,GH,4.87,-2.24,89,0,8.21,77.97,axim
24,ZA,-33.92,25.57,94,4,11.41,68.0,port elizabeth
25,PF,-23.12,-134.97,79,100,14.45,74.41,rikitea
26,PF,-9.8,-139.03,72,25,16.87,78.01,atuona
27,RU,59.96,40.19,95,100,12.84,34.74,kharovsk
28,IL,31.61,34.76,69,0,4.7,73.4,gat
29,GH,6.21,-1.66,99,68,2.26,72.59,obuasi
30,JP,26.18,127.76,88,75,29.97,71.6,nishihara
31,JP,35.73,140.83,100,75,8.05,63.0,hasaki
32,ES,28.66,-17.92,60,0,6.93,68.0,los llanos de aridane
33,IN,10.57,72.64,78,75,16.55,80.2,kavaratti
34,MU,-20.34,57.76,94,75,2.24,71.6,bambous virieux
35,CA,69.45,-133.04,92,90,17.22,23.0,tuktoyaktuk
36,BR,-21.64,-41.05,73,40,18.34,77.0,sao joao da barra
37,ZA,-33.93,18.42,93,0,13.87,64.0,cape town
38,BR,-30.18,-50.21,86,98,24.63,65.68,cidreira
39,NC,-20.57,164.28,65,65,3.04,77.81,koumac
40,PT,32.67,-17.1,63,20,3.36,66.2,ponta do sol
41,US,46.21,-119.14,34,1,4.7,55.4,kennewick
42,US,64.84,-147.72,78,1,3.36,26.01,fairbanks
43,BW,-21.28,25.37,31,0,15.46,78.66,orapa
44,BB,13.22,-59.52,70,75,14.99,86.0,bathsheba
45,CA,55.74,-97.86,63,90,11.41,30.2,thompson
46,MU,-20.41,57.7,94,75,2.24,71.6,mahebourg
47,AR,-54.8,-68.3,57,40,23.04,48.2,ushuaia
48,MV,-0.6,73.08,75,13,15.73,83.07,hithadhoo
49,GL,77.48,-69.36,94,100,1.57,18.19,qaanaaq
50,NA,-21.43,15.93,56,81,3.94,62.02,omaruru
51,FI,66.71,27.43,97,100,4.76,36.64,kemijarvi
52,TR,40.05,42.17,53,0,1.34,46.87,horasan
53,AR,-38.55,-58.74,79,89,11.01,59.0,necochea
54,EC,-0.74,-90.35,69,20,25.28,80.6,puerto ayora
55,AR,-38.0,-57.56,100,90,14.99,55.0,mar del plata
56,AU,-42.78,147.06,83,31,1.01,55.0,new norfolk
57,US,57.05,-135.33,38,40,9.17,39.2,sitka
58,RU,62.14,117.63,97,100,9.93,29.25,suntar
59,AU,-37.83,140.77,93,90,5.82,53.6,mount gambier
60,MU,-19.98,57.61,79,0,1.99,70.0,cap malheureux
61,LK,8.57,81.23,78,89,18.52,80.85,trincomalee
62,ID,-6.26,107.07,78,98,6.93,80.01,tambun
63,ES,39.89,4.27,83,0,5.82,69.8,mao
64,HK,22.29,114.16,46,100,13.0,71.01,victoria
65,RU,52.17,109.77,95,0,1.7,26.53,khorinsk
66,VU,-13.88,167.55,100,90,2.24,75.2,sola
67,NU,-19.06,-169.92,78,75,13.87,80.6,alofi
68,RU,73.51,80.55,96,88,3.06,24.57,dikson
69,RU,71.92,114.08,93,93,11.65,3.69,saskylakh
70,CA,48.93,-125.55,71,75,8.05,52.0,ucluelet
71,MX,19.93,-105.25,73,63,9.08,87.12,tomatlan
72,US,20.89,-156.47,51,1,8.05,86.0,kahului
73,GB,51.24,-0.57,93,0,4.7,53.01,guildford
74,UY,-33.7,-53.46,85,100,14.81,60.31,chuy
75,MR,20.5,-10.07,15,0,4.56,87.4,adrar
